gig_title,company,description,budget_min_usd,budget_max_usd,duration_weeks,location,required_skills,url,career_title
Freelance Project: Human Resources Manager Expert Needed,Fiverr,Seeking a skilled professional in Human Resources Manager for a project on a popular freelance platform.,1549,4209,4,Hybrid,"Skill A, Skill B, Human Resources Manager expertise",https://example.com/gig/human-resources-manager-2,Human Resources Manager
Freelance Project: Project Manager Expert Needed,Guru,Seeking a skilled professional in Project Manager for a project on a popular freelance platform.,957,4792,7,Onsite,"Skill A, Skill B, Project Manager expertise",https://example.com/gig/project-manager-1,Project Manager
Freelance Project: Project Manager Expert Needed,PeoplePerHour,Seeking a skilled professional in Project Manager for a project on a popular freelance platform.,607,3756,3,Hybrid,"Skill A, Skill B, Project Manager expertise",https://example.com/gig/project-manager-2,Project Manager
Freelance Project: Social Media Manager Expert Needed,Freelancer,Seeking a skilled professional in Social Media Manager for a project on a popular freelance platform.,1222,2943,3,Hybrid,"Skill A, Skill B, Social Media Manager expertise",https://example.com/gig/social-media-manager-1,Social Media Manager
Freelance Project: Social Media Manager Expert Needed,Upwork,Seeking a skilled professional in Social Media Manager for a project on a popular freelance platform.,1946,3086,5,Remote,"Skill A, Skill B, Social Media Manager expertise",https://example.com/gig/social-media-manager-2,Social Media Manager
Freelance Project: Electrical Engineer Expert Needed,Guru,Seeking a skilled professional in Electrical Engineer for a project on a popular freelance platform.,579,4818,4,Onsite,"Skill A, Skill B, Electrical Engineer expertise",https://example.com/gig/electrical-engineer-1,Electrical Engineer
Freelance Project: Electrical Engineer Expert Needed,Fiverr,Seeking a skilled professional in Electrical Engineer for a project on a popular freelance platform.,785,4500,2,Onsite,"Skill A, Skill B, Electrical Engineer expertise",https://example.com/gig/electrical-engineer-2,Electrical Engineer
Freelance Project: Business Analyst Expert Needed,Toptal,Seeking a skilled professional in Business Analyst for a project on a popular freelance platform.,529,3797,4,Hybrid,"Skill A, Skill B, Business Analyst expertise",https://example.com/gig/business-analyst-1,Business Analyst
Freelance Project: Business Analyst Expert Needed,Upwork,Seeking a skilled professional in Business Analyst for a project on a popular freelance platform.,836,4450,6,Remote,"Skill A, Skill B, Business Analyst expertise",https://example.com/gig/business-analyst-2,Business Analyst
Freelance Project: Robotics Process Automation (RPA) Developer Expert Needed,Guru,Seeking a skilled professional in Robotics Process Automation (RPA) Developer for a project on a popular freelance platform.,1145,4118,2,Onsite,"Skill A, Skill B, Robotics Process Automation (RPA) Developer expertise",https://example.com/gig/robotics-process-automation-(rpa)-developer-1,Robotics Process Automation (RPA) Developer
Freelance Project: Robotics Process Automation (RPA) Developer Expert Needed,Toptal,Seeking a skilled professional in Robotics Process Automation (RPA) Developer for a project on a popular freelance platform.,1239,2959,5,Remote,"Skill A, Skill B, Robotics Process Automation (RPA) Developer expertise",https://example.com/gig/robotics-process-automation-(rpa)-developer-2,Robotics Process Automation (RPA) Developer
Freelance Project: Game Designer Expert Needed,PeoplePerHour,Seeking a skilled professional in Game Designer for a project on a popular freelance platform.,1514,3234,6,Hybrid,"Skill A, Skill B, Game Designer expertise",https://example.com/gig/game-designer-1,Game Designer
Freelance Project: Game Designer Expert Needed,Toptal,Seeking a skilled professional in Game Designer for a project on a popular freelance platform.,1591,4421,4,Hybrid,"Skill A, Skill B, Game Designer expertise",https://example.com/gig/game-designer-2,Game Designer
Freelance Project: Data Visualization Specialist Expert Needed,Toptal,Seeking a skilled professional in Data Visualization Specialist for a project on a popular freelance platform.,1197,3788,6,Remote,"Skill A, Skill B, Data Visualization Specialist expertise",https://example.com/gig/data-visualization-specialist-1,Data Visualization Specialist
Freelance Project: Data Visualization Specialist Expert Needed,Freelancer,Seeking a skilled professional in Data Visualization Specialist for a project on a popular freelance platform.,1900,4663,4,Remote,"Skill A, Skill B, Data Visualization Specialist expertise",https://example.com/gig/data-visualization-specialist-2,Data Visualization Specialist
Freelance Project: Network Security Engineer Expert Needed,PeoplePerHour,Seeking a skilled professional in Network Security Engineer for a project on a popular freelance platform.,1241,2973,7,Remote,"Skill A, Skill B, Network Security Engineer expertise",https://example.com/gig/network-security-engineer-1,Network Security Engineer
Freelance Project: Network Security Engineer Expert Needed,Upwork,Seeking a skilled professional in Network Security Engineer for a project on a popular freelance platform.,1503,4457,3,Onsite,"Skill A, Skill B, Network Security Engineer expertise",https://example.com/gig/network-security-engineer-2,Network Security Engineer
Freelance Project: Systems Analyst Expert Needed,Upwork,Seeking a skilled professional in Systems Analyst for a project on a popular freelance platform.,1231,2934,3,Remote,"Skill A, Skill B, Systems Analyst expertise",https://example.com/gig/systems-analyst-1,Systems Analyst
Freelance Project: Systems Analyst Expert Needed,Toptal,Seeking a skilled professional in Systems Analyst for a project on a popular freelance platform.,640,2540,4,Onsite,"Skill A, Skill B, Systems Analyst expertise",https://example.com/gig/systems-analyst-2,Systems Analyst
Freelance Project: Content Strategist Expert Needed,Fiverr,Seeking a skilled professional in Content Strategist for a project on a popular freelance platform.,639,4644,3,Onsite,"Skill A, Skill B, Content Strategist expertise",https://example.com/gig/content-strategist-1,Content Strategist
Freelance Project: Content Strategist Expert Needed,Guru,Seeking a skilled professional in Content Strategist for a project on a popular freelance platform.,1543,2573,2,Remote,"Skill A, Skill B, Content Strategist expertise",https://example.com/gig/content-strategist-2,Content Strategist
Freelance Project: UX Writer Expert Needed,Guru,Seeking a skilled professional in UX Writer for a project on a popular freelance platform.,1164,2513,5,Hybrid,"Skill A, Skill B, UX Writer expertise",https://example.com/gig/ux-writer-1,UX Writer
Freelance Project: UX Writer Expert Needed,Freelancer,Seeking a skilled professional in UX Writer for a project on a popular freelance platform.,1534,3672,2,Onsite,"Skill A, Skill B, UX Writer expertise",https://example.com/gig/ux-writer-2,UX Writer
Freelance Project: Podiatrist Expert Needed,Upwork,Seeking a skilled professional in Podiatrist for a project on a popular freelance platform.,1853,3763,7,Remote,"Skill A, Skill B, Podiatrist expertise",https://example.com/gig/podiatrist-1,Podiatrist
Freelance Project: Podiatrist Expert Needed,Toptal,Seeking a skilled professional in Podiatrist for a project on a popular freelance platform.,1043,2653,4,Hybrid,"Skill A, Skill B, Podiatrist expertise",https://example.com/gig/podiatrist-2,Podiatrist
Freelance Project: Urban Planner Expert Needed,Freelancer,Seeking a skilled professional in Urban Planner for a project on a popular freelance platform.,860,2500,6,Onsite,"Skill A, Skill B, Urban Planner expertise",https://example.com/gig/urban-planner-1,Urban Planner
Freelance Project: Urban Planner Expert Needed,Upwork,Seeking a skilled professional in Urban Planner for a project on a popular freelance platform.,718,3921,5,Onsite,"Skill A, Skill B, Urban Planner expertise",https://example.com/gig/urban-planner-2,Urban Planner
Freelance Project: Dietetic Technician Expert Needed,PeoplePerHour,Seeking a skilled professional in Dietetic Technician for a project on a popular freelance platform.,871,4145,5,Onsite,"Skill A, Skill B, Dietetic Technician expertise",https://example.com/gig/dietetic-technician-1,Dietetic Technician
Freelance Project: Dietetic Technician Expert Needed,PeoplePerHour,Seeking a skilled professional in Dietetic Technician for a project on a popular freelance platform.,1330,2985,5,Remote,"Skill A, Skill B, Dietetic Technician expertise",https://example.com/gig/dietetic-technician-2,Dietetic Technician
Freelance Project: Forensic Scientist Expert Needed,Freelancer,Seeking a skilled professional in Forensic Scientist for a project on a popular freelance platform.,1273,4274,7,Onsite,"Skill A, Skill B, Forensic Scientist expertise",https://example.com/gig/forensic-scientist-1,Forensic Scientist
Freelance Project: Forensic Scientist Expert Needed,Freelancer,Seeking a skilled professional in Forensic Scientist for a project on a popular freelance platform.,1093,4520,6,Remote,"Skill A, Skill B, Forensic Scientist expertise",https://example.com/gig/forensic-scientist-2,Forensic Scientist
Freelance Project: Chiropractor Expert Needed,PeoplePerHour,Seeking a skilled professional in Chiropractor for a project on a popular freelance platform.,1530,4543,2,Remote,"Skill A, Skill B, Chiropractor expertise",https://example.com/gig/chiropractor-1,Chiropractor
Freelance Project: Chiropractor Expert Needed,Toptal,Seeking a skilled professional in Chiropractor for a project on a popular freelance platform.,1687,4380,3,Remote,"Skill A, Skill B, Chiropractor expertise",https://example.com/gig/chiropractor-2,Chiropractor
Freelance Project: Copywriter Expert Needed,Toptal,Seeking a skilled professional in Copywriter for a project on a popular freelance platform.,777,3817,7,Hybrid,"Skill A, Skill B, Copywriter expertise",https://example.com/gig/copywriter-1,Copywriter
Freelance Project: Copywriter Expert Needed,Freelancer,Seeking a skilled professional in Copywriter for a project on a popular freelance platform.,736,4075,6,Onsite,"Skill A, Skill B, Copywriter expertise",https://example.com/gig/copywriter-2,Copywriter
Freelance Project: Optometrist Expert Needed,Freelancer,Seeking a skilled professional in Optometrist for a project on a popular freelance platform.,566,4815,3,Remote,"Skill A, Skill B, Optometrist expertise",https://example.com/gig/optometrist-1,Optometrist
Freelance Project: Optometrist Expert Needed,Toptal,Seeking a skilled professional in Optometrist for a project on a popular freelance platform.,974,3789,2,Onsite,"Skill A, Skill B, Optometrist expertise",https://example.com/gig/optometrist-2,Optometrist
Freelance Project: Industrial Designer Expert Needed,Guru,Seeking a skilled professional in Industrial Designer for a project on a popular freelance platform.,1652,3300,2,Onsite,"Skill A, Skill B, Industrial Designer expertise",https://example.com/gig/industrial-designer-1,Industrial Designer
Freelance Project: Industrial Designer Expert Needed,Freelancer,Seeking a skilled professional in Industrial Designer for a project on a popular freelance platform.,953,4638,4,Remote,"Skill A, Skill B, Industrial Designer expertise",https://example.com/gig/industrial-designer-2,Industrial Designer
Freelance Project: Public Relations Specialist Expert Needed,Freelancer,Seeking a skilled professional in Public Relations Specialist for a project on a popular freelance platform.,1978,4945,5,Remote,"Skill A, Skill B, Public Relations Specialist expertise",https://example.com/gig/public-relations-specialist-1,Public Relations Specialist
Freelance Project: Public Relations Specialist Expert Needed,Fiverr,Seeking a skilled professional in Public Relations Specialist for a project on a popular freelance platform.,1472,4784,3,Remote,"Skill A, Skill B, Public Relations Specialist expertise",https://example.com/gig/public-relations-specialist-2,Public Relations Specialist
Freelance Project: Occupational Therapist Expert Needed,Fiverr,Seeking a skilled professional in Occupational Therapist for a project on a popular freelance platform.,735,3951,7,Onsite,"Skill A, Skill B, Occupational Therapist expertise",https://example.com/gig/occupational-therapist-1,Occupational Therapist
Freelance Project: Occupational Therapist Expert Needed,PeoplePerHour,Seeking a skilled professional in Occupational Therapist for a project on a popular freelance platform.,996,3139,2,Hybrid,"Skill A, Skill B, Occupational Therapist expertise",https://example.com/gig/occupational-therapist-2,Occupational Therapist
Freelance Project: Linguist Expert Needed,Guru,Seeking a skilled professional in Linguist for a project on a popular freelance platform.,711,2631,5,Remote,"Skill A, Skill B, Linguist expertise",https://example.com/gig/linguist-1,Linguist
Freelance Project: Linguist Expert Needed,PeoplePerHour,Seeking a skilled professional in Linguist for a project on a popular freelance platform.,1033,4181,3,Onsite,"Skill A, Skill B, Linguist expertise",https://example.com/gig/linguist-2,Linguist
Freelance Project: Animator Expert Needed,Guru,Seeking a skilled professional in Animator for a project on a popular freelance platform.,883,4422,6,Onsite,"Skill A, Skill B, Animator expertise",https://example.com/gig/animator-1,Animator
Freelance Project: Animator Expert Needed,PeoplePerHour,Seeking a skilled professional in Animator for a project on a popular freelance platform.,880,3016,2,Hybrid,"Skill A, Skill B, Animator expertise",https://example.com/gig/animator-2,Animator
Freelance Project: Medical Assistant Expert Needed,Toptal,Seeking a skilled professional in Medical Assistant for a project on a popular freelance platform.,1781,2919,4,Remote,"Skill A, Skill B, Medical Assistant expertise",https://example.com/gig/medical-assistant-1,Medical Assistant
Freelance Project: Medical Assistant Expert Needed,Freelancer,Seeking a skilled professional in Medical Assistant for a project on a popular freelance platform.,1247,4763,3,Onsite,"Skill A, Skill B, Medical Assistant expertise",https://example.com/gig/medical-assistant-2,Medical Assistant
Freelance Project: Curator Expert Needed,Upwork,Seeking a skilled professional in Curator for a project on a popular freelance platform.,1242,4379,7,Hybrid,"Skill A, Skill B, Curator expertise",https://example.com/gig/curator-1,Curator
