course_title,provider,description,tags,rating,students_enrolled,duration_weeks,cost_type,level,url,career_title,course_image_url
Blockchain Fundamentals,Pluralsight,Understanding blockchain technology and developing decentralized applications.,"blockchain, cryptocurrency, Blockchain Developer",4.2,45285,6,Free,Beginner,https://www.pluralsight.com/courses/blockchain-fundamentals,Blockchain Developer,https://images.unsplash.com/photo-1639762681485-074b7f938ba0?w=400&h=300&fit=crop
Ethereum and Solidity Complete Course,edX,Build blockchain applications using Ethereum and write smart contracts in Solidity.,"ethereum, smart contracts, Blockchain Developer",5.0,10848,5,Premium,Advanced,https://www.edx.org/course/blockchain-technology,Blockchain Developer,https://images.unsplash.com/photo-1622630998477-20aa696ecb05?w=400&h=300&fit=crop
Unity Game Development Fundamentals,LinkedIn Learning,Learn to create 2D and 3D games using Unity game engine from scratch.,"unity, game development, Game Developer",4.2,14879,10,Free,Advanced,https://www.linkedin.com/learning/unity-3d-essential-training,Game Developer,https://images.unsplash.com/photo-1552820728-8b83bb6b773f?w=400&h=300&fit=crop
Unreal Engine 5 Complete Course,LinkedIn Learning,Master game development with Unreal Engine 5 and create AAA quality games.,"unreal engine, gaming, Game Developer",4.3,25441,12,Premium,Beginner,https://www.linkedin.com/learning/unreal-engine-5-essential-training,Game Developer,https://images.unsplash.com/photo-1542751371-adc38448a05e?w=400&h=300&fit=crop
Google Digital Marketing Certificate,Udemy,Get job-ready for an in-demand career in digital marketing with Google certification.,"marketing, google ads, Digital Marketing Specialist",4.2,21750,10,Premium,Beginner,https://www.udemy.com/course/digital-marketing-masterclass/,Digital Marketing Specialist,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=300&fit=crop
Facebook Marketing Mastery,Udemy,Master Facebook and Instagram advertising to grow your business exponentially.,"social media, facebook ads, Digital Marketing Specialist",5.0,26917,11,Premium,Beginner,https://www.udemy.com/course/facebook-ads-facebook-marketing/,Digital Marketing Specialist,https://images.unsplash.com/photo-1611262588024-d12430b98920?w=400&h=300&fit=crop
Introduction to Robotics,edX,Learn fundamentals of robotics including kinematics dynamics and control systems.,"robotics, engineering, Robotics Engineer",4.6,3314,13,Free,Beginner,https://www.edx.org/course/robotics-fundamentals,Robotics Engineer,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=400&h=300&fit=crop
Advanced Robotics and Automation,edX,Design and program industrial robots for manufacturing and automation applications.,"automation, industrial robots, Robotics Engineer",4.6,23964,6,Premium,Advanced,https://www.edx.org/course/advanced-robotics,Robotics Engineer,https://images.unsplash.com/photo-1518358958346-65e63e5ac17a?w=400&h=300&fit=crop
iOS App Development with Swift,LinkedIn Learning,Build iOS applications using Swift programming language and Xcode development environment.,"ios, swift, Mobile App Developer",4.2,14313,7,Free,Advanced,https://www.linkedin.com/learning/ios-15-app-development-essential-training,Mobile App Developer,https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?w=400&h=300&fit=crop
Android Development with Kotlin,Pluralsight,Create Android applications using Kotlin and modern Android development practices.,"android, kotlin, Mobile App Developer",4.6,20576,12,Premium,Intermediate,https://www.pluralsight.com/courses/android-development-kotlin,Mobile App Developer,https://images.unsplash.com/photo-1607252650355-f7fd0460ccdb?w=400&h=300&fit=crop
Google Data Analytics Certificate,Pluralsight,Gain the skills needed to become a junior data analyst with Google certification.,"data analysis, google, Data Analyst",4.8,42850,10,Premium,Beginner,https://www.pluralsight.com/paths/data-analysis-fundamentals,Data Analyst,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=400&h=300&fit=crop
SQL for Data Analysis,LinkedIn Learning,Master SQL queries and database management for effective data analysis.,"sql, databases, Data Analyst",4.3,44060,5,Premium,Beginner,https://www.linkedin.com/learning/sql-data-reporting-and-analysis,Data Analyst,https://images.unsplash.com/photo-1544383835-bda2bc66a55d?w=400&h=300&fit=crop
The Complete Web Developer Course,edX,Learn full stack web development including HTML CSS JavaScript React and Node.js.,"web development, javascript, Full Stack Developer",4.6,5467,13,Free,Advanced,https://www.edx.org/course/full-stack-development,Full Stack Developer,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=400&h=300&fit=crop
MEAN Stack Development,Coursera,Build modern web applications using MongoDB Express Angular and Node.js.,"mean stack, javascript, Full Stack Developer",4.1,20745,12,Premium,Intermediate,https://www.coursera.org/specializations/mean-stack,Full Stack Developer,https://images.unsplash.com/photo-1517180102446-f3ece451e9d8?w=400&h=300&fit=crop
Product Management Fundamentals,Pluralsight,Learn essential product management skills including roadmapping and stakeholder management.,"product strategy, agile, Product Manager",4.7,23113,12,Free,Intermediate,https://www.pluralsight.com/courses/product-management-fundamentals,Product Manager,https://images.unsplash.com/photo-1553484771-371a605b060b?w=400&h=300&fit=crop
Agile Product Management,Pluralsight,Master agile methodologies and lean product development techniques.,"scrum, product development, Product Manager",4.5,4830,8,Premium,Advanced,https://www.pluralsight.com/courses/agile-product-owner-role,Product Manager,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
Computational Biology and Bioinformatics,Udemy,Apply computational methods to biological data analysis and genomics research.,"genomics, biology, Bioinformatics Scientist",4.5,36801,11,Free,Advanced,https://www.udemy.com/course/bioinformatics-methods/,Bioinformatics Scientist,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Python for Genomic Data Science,Udemy,Use Python programming for analyzing genomic sequences and biological data.,"python, genomics, Bioinformatics Scientist",4.8,48088,10,Premium,Intermediate,https://www.udemy.com/course/python-for-genomics/,Bioinformatics Scientist,https://images.unsplash.com/photo-1576086213369-97a306d36557?w=400&h=300&fit=crop
Embedded C Programming,Coursera,Master embedded systems programming using C language for microcontrollers.,"embedded c, microcontrollers, Embedded Systems Engineer",4.6,30030,12,Premium,Advanced,https://www.coursera.org/learn/introduction-embedded-systems,Embedded Systems Engineer,https://images.unsplash.com/photo-1518358958346-65e63e5ac17a?w=400&h=300&fit=crop
ARM Cortex-M Microcontroller,Pluralsight,Program ARM Cortex-M based microcontrollers for embedded applications.,"arm, embedded systems, Embedded Systems Engineer",4.3,43375,9,Free,Advanced,https://www.pluralsight.com/courses/embedded-systems-programming,Embedded Systems Engineer,https://images.unsplash.com/photo-1597733336794-12d05021d510?w=400&h=300&fit=crop
Machine Learning with TensorFlow,edX,Build and deploy machine learning models using TensorFlouv w and Keras frameworks.,"tensorflow, deep learning, Machine Learning Engineer",4.8,20861,13,Free,Intermediate,https://www.edx.org/course/machine-learning-tensorflow,Machine Learning Engineer,https://images.unsplash.com/photo-1677442136019-21780ecad995?w=400&h=300&fit=crop
Applied Machine Learning,LinkedIn Learning,Implement practical machine learning solutions for real-world problems.,"ml algorithms, python, Machine Learning Engineer",4.2,21240,5,Premium,Intermediate,https://www.linkedin.com/learning/applied-machine-learning-foundations,Machine Learning Engineer,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=400&h=300&fit=crop
Cisco CCNA Certification,edX,Prepare for Cisco CCNA certification and master networking fundamentals.,"cisco, networking, Network Engineer",4.9,44532,8,Premium,Beginner,https://www.edx.org/course/cisco-networking-basics,Network Engineer,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=400&h=300&fit=crop
CompTIA Network+ Training,LinkedIn Learning,Comprehensive networking concepts and prepare for CompTIA Network+ certification.,"comptia, networking, Network Engineer",4.1,39783,10,Free,Intermediate,https://www.linkedin.com/learning/comptia-network-plus-n10-008,Network Engineer,https://images.unsplash.com/photo-1544197150-b99a580bb7a8?w=400&h=300&fit=crop
Docker and Kubernetes Mastery,LinkedIn Learning,Master containerization with Docker and orchestration with Kubernetes.,"docker, kubernetes, DevOps Engineer",4.5,44270,5,Free,Advanced,https://www.linkedin.com/learning/learning-docker,DevOps Engineer,https://images.unsplash.com/photo-1605745341112-85968b19335b?w=400&h=300&fit=crop
CI/CD Pipeline with Jenkins,LinkedIn Learning,Build continuous integration and deployment pipelines using Jenkins.,"jenkins, automation, DevOps Engineer",4.1,8727,4,Free,Intermediate,https://www.linkedin.com/learning/continuous-integration-continuous-delivery-ci-cd,DevOps Engineer,https://images.unsplash.com/photo-1586717791821-3f44a563fa4c?w=400&h=300&fit=crop
Unity AR Foundation,Coursera,Create augmented reality applications using Unity AR Foundation framework.,"unity, augmented reality, AR/VR Developer",4.8,30695,11,Premium,Advanced,https://www.coursera.org/learn/augmented-reality,AR/VR Developer,https://images.unsplash.com/photo-1617802690992-15d93263d3a9?w=400&h=300&fit=crop
Virtual Reality Development,LinkedIn Learning,Build immersive VR experiences using Unity and Oculus SDK.,"vr, oculus, AR/VR Developer",4.3,1369,11,Premium,Advanced,https://www.linkedin.com/learning/vr-foundations,AR/VR Developer,https://images.unsplash.com/photo-1593508512255-86ab42a8e620?w=400&h=300&fit=crop
Certified Ethical Hacker v12,Coursera,Prepare for CEH certification and learn advanced penetration testing techniques.,"ceh, penetration testing, Ethical Hacker",4.3,1906,12,Free,Advanced,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,Ethical Hacker,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=400&h=300&fit=crop
Kali Linux for Ethical Hacking,Udemy,Master Kali Linux tools and techniques for ethical hacking and security testing.,"kali linux, security, Ethical Hacker",4.1,26392,14,Premium,Beginner,https://www.udemy.com/course/kali-linux-tutorial/,Ethical Hacker,https://images.unsplash.com/photo-1555949963-aa79dcee981c?w=400&h=300&fit=crop
JavaScript Full Stack Bootcamp,Pluralsight,Complete JavaScript training from frontend to backend development.,"javascript, node.js, Full-Stack Developer",4.1,9037,13,Premium,Advanced,https://www.pluralsight.com/paths/javascript-development,Full-Stack Developer,https://images.unsplash.com/photo-1579468118864-1b9ea3c0db4a?w=400&h=300&fit=crop
React and Node.js Development,Coursera,Build full-stack applications using React for frontend and Node.js for backend.,"react, node.js, Full-Stack Developer",4.8,29210,11,Premium,Beginner,https://www.coursera.org/specializations/full-stack-react,Full-Stack Developer,https://images.unsplash.com/photo-1633356122544-f134324a6cee?w=400&h=300&fit=crop
Apache Spark for Data Engineering,Pluralsight,Master big data processing with Apache Spark for data engineering workflows.,"spark, big data, Data Engineer",4.9,5962,14,Premium,Beginner,https://www.pluralsight.com/courses/apache-spark-fundamentals,Data Engineer,https://images.unsplash.com/photo-1518186285589-2f7649de83e0?w=400&h=300&fit=crop
Data Pipeline with Airflow,Udemy,Build and orchestrate data pipelines using Apache Airflow.,"airflow, etl, Data Engineer",4.1,45337,5,Free,Intermediate,https://www.udemy.com/course/apache-airflow/,Data Engineer,https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=400&h=300&fit=crop
User Research Methods,Pluralsight,Learn qualitative and quantitative research methods for UX design.,"user research, ux, UX Researcher",4.8,10238,11,Free,Advanced,https://www.pluralsight.com/courses/ux-research-fundamentals,UX Researcher,https://images.unsplash.com/photo-1586717791821-3f44a563fa4c?w=400&h=300&fit=crop
Design Thinking and Research,Coursera,Apply design thinking methodology to user experience research projects.,"design thinking, research, UX Researcher",4.8,30207,7,Free,Intermediate,https://www.coursera.org/learn/design-research,UX Researcher,https://images.unsplash.com/photo-1581287053822-fd7bf4f4bfec?w=400&h=300&fit=crop
Internet of Things with Arduino,edX,Build IoT projects using Arduino microcontrollers and sensors.,"arduino, iot, IoT Developer",4.7,21467,7,Premium,Advanced,https://www.edx.org/course/introduction-to-iot,IoT Developer,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=300&fit=crop
Raspberry Pi IoT Projects,Udemy,Create IoT solutions using Raspberry Pi and cloud services.,"raspberry pi, iot, IoT Developer",4.4,23838,15,Premium,Intermediate,https://www.udemy.com/course/raspberry-pi-workshop/,IoT Developer,https://images.unsplash.com/photo-1580894908361-967195033215?w=400&h=300&fit=crop
AWS Security Best Practices,Coursera,Implement security controls and compliance in AWS cloud environments.,"aws security, cloud, Cloud Security Engineer",4.9,37048,13,Premium,Intermediate,https://www.coursera.org/learn/aws-cloud-security,Cloud Security Engineer,https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=400&h=300&fit=crop
Azure Security Technologies,Udemy,Master security implementation in Microsoft Azure cloud platform.,"azure security, cloud, Cloud Security Engineer",4.4,46396,4,Free,Intermediate,https://www.udemy.com/course/azure-security/,Cloud Security Engineer,https://images.unsplash.com/photo-1614064643087-96ce7f0737cb?w=400&h=300&fit=crop
Technical Writing Fundamentals,edX,Learn to create clear and effective technical documentation.,"documentation, writing, Technical Writer",4.6,45104,12,Premium,Advanced,https://www.edx.org/course/technical-writing,Technical Writer,https://images.unsplash.com/photo-1486312338219-ce68e2c6b696?w=400&h=300&fit=crop
API Documentation with Swagger,LinkedIn Learning,Master API documentation using Swagger and OpenAPI specifications.,"api docs, swagger, Technical Writer",4.5,34887,5,Premium,Beginner,https://www.linkedin.com/learning/technical-writing-quick-start-guides,Technical Writer,https://images.unsplash.com/photo-1542831371-29b0f74f9713?w=400&h=300&fit=crop
Site Reliability Engineering,Pluralsight,Learn SRE practices for maintaining reliable and scalable systems.,"sre, devops, Site Reliability Engineer (SRE)",4.1,2106,10,Premium,Intermediate,https://www.pluralsight.com/courses/site-reliability-engineering,Site Reliability Engineer (SRE),https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=400&h=300&fit=crop
Monitoring with Prometheus,LinkedIn Learning,Implement monitoring and alerting using Prometheus and Grafana.,"monitoring, prometheus, Site Reliability Engineer (SRE)",4.9,8559,6,Free,Advanced,https://www.linkedin.com/learning/devops-foundations-monitoring-and-observability,Site Reliability Engineer (SRE),https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=400&h=300&fit=crop
Financial Modeling in Excel,Udemy,Build financial models and perform valuation analysis using Excel.,"excel, finance, Financial Analyst",4.7,31663,15,Free,Beginner,https://www.udemy.com/course/financial-modeling/,Financial Analyst,https://images.unsplash.com/photo-1554224155-6726b3ff858f?w=400&h=300&fit=crop
Investment Banking Fundamentals,LinkedIn Learning,Learn core investment banking concepts and financial analysis techniques.,"investment, banking, Financial Analyst",4.5,36605,4,Free,Intermediate,https://www.linkedin.com/learning/investment-banking-fundamentals,Financial Analyst,https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3?w=400&h=300&fit=crop
Quantum Computing Basics,Pluralsight,Introduction to quantum computing principles and quantum algorithms.,"quantum, computing, Quantum Computing Engineer",5.0,11439,14,Free,Intermediate,https://www.pluralsight.com/courses/quantum-computing-fundamentals,Quantum Computing Engineer,https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=400&h=300&fit=crop
Qiskit for Quantum Development,Coursera,Program quantum computers using IBM Qiskit framework.,"qiskit, quantum, Quantum Computing Engineer",4.2,40346,8,Premium,Beginner,https://www.coursera.org/learn/introduction-to-quantum-computing,Quantum Computing Engineer,https://images.unsplash.com/photo-1518186285589-2f7649de83e0?w=400&h=300&fit=crop
Oracle Database Administration,LinkedIn Learning,Master Oracle database installation configuration and administration.,"oracle, database, Database Administrator",4.2,34373,6,Free,Intermediate,https://www.linkedin.com/learning/oracle-database-12c-administration,Database Administrator,https://images.unsplash.com/photo-1544383835-bda2bc66a55d?w=400&h=300&fit=crop
PostgreSQL for DBAs,LinkedIn Learning,Advanced PostgreSQL database administration and optimization techniques.,"postgresql, sql, Database Administrator",4.1,16404,8,Premium,Intermediate,https://www.linkedin.com/learning/postgresql-essential-training,Database Administrator,https://images.unsplash.com/photo-1573804633927-bfcbcd909acd?w=400&h=300&fit=crop
Introduction to Aerospace Engineering,edX,Fundamentals of aerodynamics propulsion and aircraft design.,"aerospace, engineering, Aerospace Engineer",4.5,15083,5,Free,Beginner,https://www.edx.org/course/introduction-aerospace-engineering,Aerospace Engineer,https://images.unsplash.com/photo-1540962351504-03099e0a754b?w=400&h=300&fit=crop
Space Systems Engineering,Pluralsight,Design and analysis of spacecraft and launch vehicle systems.,"spacecraft, systems, Aerospace Engineer",4.2,22378,7,Free,Advanced,https://www.pluralsight.com/courses/aerospace-fundamentals,Aerospace Engineer,https://images.unsplash.com/photo-1446776653964-20c1d3a81b06?w=400&h=300&fit=crop
SHRM HR Certification Prep,LinkedIn Learning,Prepare for SHRM certification and master HR management principles.,"shrm, hr, Human Resources Manager",4.7,33961,9,Free,Intermediate,https://www.linkedin.com/learning/shrm-cp-shrm-scp-cert-prep,Human Resources Manager,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=300&fit=crop
Strategic Human Resources,Coursera,Develop strategic HR management skills for organizational success.,"hr strategy, management, Human Resources Manager",4.4,29836,12,Free,Advanced,https://www.coursera.org/specializations/human-resources-management,Human Resources Manager,https://images.unsplash.com/photo-1521737711867-e3b97375f902?w=400&h=300&fit=crop
PMP Certification Prep,Udemy,Complete preparation for Project Management Professional certification exam.,"pmp, project management, Project Manager",4.6,9556,14,Premium,Intermediate,https://www.udemy.com/course/pmp-certification-exam-prep/,Project Manager,https://images.unsplash.com/photo-1556740738-b6a63e27c4df?w=400&h=300&fit=crop
Agile Project Management,edX,Master Scrum and agile methodologies for project management.,"agile, scrum, Project Manager",4.7,24124,6,Premium,Intermediate,https://www.edx.org/course/agile-project-management,Project Manager,https://images.unsplash.com/photo-1552664730-d307ca884978?w=400&h=300&fit=crop
Instagram Marketing Strategy,Pluralsight,Build and execute successful Instagram marketing campaigns.,"instagram, social media, Social Media Manager",4.4,11985,5,Premium,Advanced,https://www.pluralsight.com/courses/social-media-marketing,Social Media Manager,https://images.unsplash.com/photo-1611162617474-5b21e879e113?w=400&h=300&fit=crop
Content Strategy for Social Media,Pluralsight,Develop engaging content strategies for multiple social platforms.,"content, strategy, Social Media Manager",4.0,5774,10,Premium,Advanced,https://www.pluralsight.com/courses/content-marketing-fundamentals,Social Media Manager,https://images.unsplash.com/photo-1562577309-4932fdd64cd1?w=400&h=300&fit=crop
Circuit Analysis and Design,Udemy,Master electrical circuit analysis and electronic component design.,"circuits, electronics, Electrical Engineer",4.3,38583,14,Premium,Intermediate,https://www.udemy.com/course/electronics-engineering/,Electrical Engineer,https://images.unsplash.com/photo-1581092794775-de4802d7b3e5?w=400&h=300&fit=crop
Power Systems Engineering,edX,Study electrical power generation transmission and distribution systems.,"power systems, electrical, Electrical Engineer",4.1,34843,4,Free,Intermediate,https://www.edx.org/course/electrical-engineering,Electrical Engineer,https://images.unsplash.com/photo-1509390144992-daa5d47b5a93?w=400&h=300&fit=crop
Business Analysis Fundamentals,Coursera,Learn requirements gathering and business process modeling techniques.,"requirements, analysis, Business Analyst",4.6,48572,5,Premium,Intermediate,https://www.coursera.org/specializations/business-analysis,Business Analyst,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=300&fit=crop
CBAP Certification Training,LinkedIn Learning,Prepare for Certified Business Analysis Professional certification.,"cbap, certification, Business Analyst",4.9,34572,9,Premium,Advanced,https://www.linkedin.com/learning/business-analysis-foundations,Business Analyst,https://images.unsplash.com/photo-1553484771-371a605b060b?w=400&h=300&fit=crop
UiPath RPA Developer,edX,Learn robotic process automation using UiPath platform.,"uipath, rpa, Robotics Process Automation (RPA) Developer",4.4,49328,12,Premium,Intermediate,https://www.edx.org/course/robotic-process-automation,Robotics Process Automation (RPA) Developer,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?w=400&h=300&fit=crop
Blue Prism Automation,Udemy,Master Blue Prism for enterprise robotic process automation.,"blue prism, automation, Robotics Process Automation (RPA) Developer",4.7,43272,10,Premium,Advanced,https://www.udemy.com/course/blue-prism-training/,Robotics Process Automation (RPA) Developer,https://images.unsplash.com/photo-1518358958346-65e63e5ac17a?w=400&h=300&fit=crop
Game Design Fundamentals,LinkedIn Learning,Learn core game design principles and mechanics.,"game design, mechanics, Game Designer",4.1,47698,11,Premium,Advanced,https://www.linkedin.com/learning/game-design-foundations,Game Designer,https://images.unsplash.com/photo-1556438064-2d7646166914?w=400&h=300&fit=crop
Level Design Masterclass,edX,Create engaging game levels and environments.,"level design, gaming, Game Designer",4.2,9990,8,Premium,Advanced,https://www.edx.org/course/game-design,Game Designer,https://images.unsplash.com/photo-1511512578047-dfb367046420?w=400&h=300&fit=crop
Tableau Desktop Specialist,edX,Master data visualization using Tableau for business intelligence.,"tableau, visualization, Data Visualization Specialist",5.0,14737,13,Free,Intermediate,https://www.edx.org/course/data-visualization-tableau,Data Visualization Specialist,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=400&h=300&fit=crop
Power BI for Data Visualization,Udemy,Create interactive dashboards and reports using Microsoft Power BI.,"power bi, dashboards, Data Visualization Specialist",4.3,7167,11,Premium,Intermediate,https://www.udemy.com/course/microsoft-power-bi/,Data Visualization Specialist,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=400&h=300&fit=crop
Network Security Fundamentals,LinkedIn Learning,Learn to secure network infrastructure and prevent cyber attacks.,"network security, firewall, Network Security Engineer",4.4,18239,14,Free,Beginner,https://www.linkedin.com/learning/network-security-fundamentals,Network Security Engineer,https://images.unsplash.com/photo-1550751827-4bd374c3f58b?w=400&h=300&fit=crop
Firewall Configuration and Management,Pluralsight,Configure and manage enterprise firewall solutions.,"firewall, security, Network Security Engineer",4.5,49600,7,Free,Advanced,https://www.pluralsight.com/courses/firewall-fundamentals,Network Security Engineer,https://images.unsplash.com/photo-1563013544-824ae1b704d3?w=400&h=300&fit=crop
Systems Analysis and Design,edX,Learn to analyze and design information systems for organizations.,"systems design, analysis, Systems Analyst",4.3,34223,15,Premium,Beginner,https://www.edx.org/course/systems-analysis,Systems Analyst,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=400&h=300&fit=crop
Business Systems Analysis,Pluralsight,Analyze business processes and design technical solutions.,"business systems, it, Systems Analyst",4.8,43601,14,Premium,Intermediate,https://www.pluralsight.com/courses/business-systems-analysis,Systems Analyst,https://images.unsplash.com/photo-1553484771-371a605b060b?w=400&h=300&fit=crop
Content Marketing Strategy,Pluralsight,Develop and execute effective content marketing strategies.,"content marketing, seo, Content Strategist",4.2,19167,12,Free,Beginner,https://www.pluralsight.com/courses/content-strategy,Content Strategist,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=400&h=300&fit=crop
SEO Content Writing,edX,Create search-optimized content that drives organic traffic.,"seo, writing, Content Strategist",4.9,4831,5,Free,Beginner,https://www.edx.org/course/content-strategy,Content Strategist,https://images.unsplash.com/photo-1486312338219-ce68e2c6b696?w=400&h=300&fit=crop
Microcopy and UX Writing,Pluralsight,Write effective user interface copy and microcopy.,"ux writing, microcopy, UX Writer",4.8,6623,12,Premium,Advanced,https://www.pluralsight.com/courses/ux-writing,UX Writer,https://images.unsplash.com/photo-1581287053822-fd7bf4f4bfec?w=400&h=300&fit=crop
Writing for User Interfaces,LinkedIn Learning,Master the art of writing clear and helpful UI text.,"ui text, writing, UX Writer",4.6,27401,8,Premium,Beginner,https://www.linkedin.com/learning/ux-writing-fundamentals,UX Writer,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?w=400&h=300&fit=crop
Foot and Ankle Surgery,Coursera,Advanced techniques in podiatric surgery and treatment.,"podiatry, surgery, Podiatrist",4.9,34479,9,Free,Advanced,https://www.coursera.org/learn/foot-ankle-biomechanics,Podiatrist,https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=400&h=300&fit=crop
Diabetic Foot Care Management,edX,Specialized care for diabetic foot conditions and complications.,"diabetes, foot care, Podiatrist",4.2,48403,12,Premium,Intermediate,https://www.edx.org/course/podiatric-medicine,Podiatrist,https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=400&h=300&fit=crop
Geographic Information Systems,Udemy,Master GIS software for urban planning and spatial analysis.,"gis, mapping, Urban Planner",4.4,39824,15,Free,Beginner,https://www.udemy.com/course/gis-training/,Urban Planner,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=400&h=300&fit=crop
Sustainable Urban Development,Coursera,Plan sustainable and resilient urban environments.,"sustainability, cities, Urban Planner",4.8,41631,4,Premium,Advanced,https://www.coursera.org/learn/designing-cities,Urban Planner,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=400&h=300&fit=crop
Clinical Nutrition Fundamentals,LinkedIn Learning,Learn medical nutrition therapy and dietary assessment.,"nutrition, clinical, Dietetic Technician",4.6,15750,12,Premium,Intermediate,https://www.linkedin.com/learning/nutrition-science,Dietetic Technician,https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=400&h=300&fit=crop
